symbol,price,change,last update
KO,41.22,+0.78,2017-02-16 09:16:02
HSY,107.89,-0.91,2017-02-16 09:15:41
MOS,33.20,-0.58,2017-02-16 09:16:13
TRV,121.41,+0.43,2017-02-16 09:16:09
DIS,110.36,+0.18,2017-02-16 09:16:06
TMO,157.88,-0.38,2017-02-16 09:16:04
TIF,83.17,-0.06,2017-02-16 09:15:46
TWX,96.21,-0.11,2017-02-16 09:16:07
TJX,77.06,-1.17,2017-02-16 09:16:05
TMK,77.05,+0.06,2017-02-16 09:16:07
TSS,53.86,-0.40,2017-02-16 09:15:46
TSCO,71.19,-1.54,2017-02-16 09:16:00
TDG,251.20,+0.25,2017-02-16 09:14:15
RIG,13.15,-0.21,2017-02-16 09:16:13
TRIP,47.60,-5.10,2017-02-16 09:16:01
FOXA,30.49,-0.20,2017-02-16 09:16:15
FOX,30.02,-0.31,2017-02-16 09:16:09
JCI,41.71,+0.09,2017-02-16 09:16:17
TSN,64.58,-0.75,2017-02-16 09:16:06
USB,54.89,-0.25,2017-02-16 09:15:55
UDR,35.45,+0.19,2017-02-16 09:15:45
ULTA,272.60,-1.04,2017-02-16 09:16:10
UA,19.63,-0.23,2017-02-16 09:15:16
UNP,108.70,-1.08,2017-02-16 09:16:22
UAL,75.60,-0.11,2017-02-16 09:15:38
UNH,163.60,-0.69,2017-02-16 09:16:26
UPS,106.97,-1.22,2017-02-16 09:16:18
URI,126.65,-2.40,2017-02-16 09:16:06
UTX,112.07,+0.16,2017-02-16 09:15:54
UHS,122.03,-0.38,2017-02-16 09:14:57
UNM,49.04,-0.09,2017-02-16 09:15:54
URBN,27.24,-0.08,2017-02-16 09:16:27
VFC,50.71,+0.19,2017-02-16 09:16:23
VLO,66.73,-1.03,2017-02-16 09:16:00
VAR,81.88,+0.75,2017-02-16 09:15:56
VTR,62.58,+0.90,2017-02-16 09:15:53
VRSN,82.07,-0.78,2017-02-16 09:16:28
VRSK,83.93,+0.16,2017-02-16 09:15:56
VZ,48.42,+0.34,2017-02-16 09:16:25
VRTX,87.54,-1.83,2017-02-16 09:16:28
VIAB,44.13,-0.53,2017-02-16 09:16:34
V,87.05,-0.48,2017-02-16 09:16:31
VNO,109.73,+0.70,2017-02-16 09:16:02
VMC,120.35,-2.76,2017-02-16 09:15:42
WMT,68.92,+0.23,2017-02-16 09:16:16
WBA,85.44,+1.19,2017-02-16 09:16:36
WM,70.89,-0.46,2017-02-16 09:16:39
WAT,152.35,-1.05,2017-02-16 09:14:54
WFC,57.84,-0.71,2017-02-16 09:16:40
HCN,66.18,+0.60,2017-02-16 09:16:43
WDC,76.14,+0.12,2017-02-16 09:16:30
WU,19.57,-0.02,2017-02-16 09:16:31
WRK,54.22,+0.36,2017-02-16 09:16:40
WY,33.47,-0.19,2017-02-16 09:16:03
WHR,176.33,-0.70,2017-02-16 09:14:54
WFM,30.66,-0.06,2017-02-16 09:16:47
WMB,28.01,-0.98,2017-02-16 09:16:46
WLTW,126.29,+0.86,2017-02-16 09:16:32
WEC,57.23,+0.22,2017-02-16 09:16:34
WYN,85.74,+0.05,2017-02-16 09:16:49
WYNN,97.13,-2.66,2017-02-16 09:16:33
XEL,41.78,+0.18,2017-02-16 09:16:43
XRX,7.39,-0.08,2017-02-16 09:16:49
XLNX,59.24,+0.32,2017-02-16 09:16:47
XL,40.59,+0.17,2017-02-16 09:16:40
XYL,47.57,-0.10,2017-02-16 09:16:47
YHOO,45.29,-0.36,2017-02-16 09:16:47
YUM,68.25,-0.40,2017-02-16 09:16:47
ZBH,116.19,-1.12,2017-02-16 09:16:53
ZION,44.57,-0.73,2017-02-16 09:16:47
ZTS,53.39,-1.76,2017-02-16 09:16:48
